batter,matches,runs,balls_faced,fours,sixes,innings,dismissals,fifties,hundreds,highest_score,strike_rate,batting_average
D Salunkhe,3,33,24,5,0,3,2,0,0,26,137.5,16.5
D Wiese,11,148,101,12,7,11,5,0,0,47,146.53,29.6
D du Preez,1,10,13,0,0,1,1,0,0,10,76.92,10.0
DA Miller,143,3288,2358,235,152,144,92,14,1,101,139.44,35.74
DA Payne,1,6,5,0,0,1,0,0,0,6,120.0,
DA Warner,184,6567,4702,663,236,187,164,62,4,126,139.66,40.04
DAJ Bracewell,1,12,9,1,0,1,0,0,0,12,133.33,
DB Das,22,304,261,23,16,22,14,0,0,35,116.48,21.71
DB Ravi Teja,25,375,317,35,9,25,19,1,0,60,118.3,19.74
DE Bollinger,4,21,23,1,1,4,1,0,0,16,91.3,21.0
DG Nalkande,2,12,12,0,1,2,2,0,0,12,100.0,6.0
DH Yagnik,17,170,137,23,2,17,10,0,0,34,124.09,17.0
DJ Bravo,110,1560,1204,120,66,110,69,5,0,70,129.57,22.61
DJ Harris,4,111,101,11,5,4,4,0,0,47,109.9,27.75
DJ Hooda,101,1497,1173,98,62,102,85,8,0,64,127.62,17.61
DJ Hussey,61,1322,1075,90,60,61,49,5,0,71,122.98,26.98
DJ Jacobs,7,92,98,10,4,7,7,0,0,32,93.88,13.14
DJ Malan,1,26,26,1,1,1,1,0,0,26,100.0,26.0
DJ Mitchell,15,351,267,28,10,15,13,2,0,63,131.46,27.0
DJ Muthuswami,1,1,3,0,0,1,1,0,0,1,33.33,1.0
DJ Thornely,4,39,53,2,2,4,2,0,0,30,73.58,19.5
DJ Willey,5,53,62,7,0,5,2,0,0,20,85.48,26.5
