bowler,matches,legal_balls,runs_conceded,wickets,overs,economy
SR Tendulkar,4,36,58,0,6.0,9.67
AUK Pathan,3,39,63,0,6.3,9.69
FY Fazal,2,12,20,0,2.0,10.0
KAJ Roach,2,48,80,0,8.0,10.0
Monu Kumar,1,12,20,0,2.0,10.0
KS Williamson,2,18,31,0,3.0,10.33
AA Kazi,1,12,21,0,2.0,10.5
Krish Bhagat,3,36,63,0,6.0,10.5
MB Parmar,1,18,33,0,3.0,11.0
RA Shaikh,1,6,11,0,1.0,11.0
RW Price,1,18,33,0,3.0,11.0
CJ Dala,1,18,34,0,3.0,11.33
H Sharma,2,30,57,0,5.0,11.4
SZ Mulani,2,30,57,0,5.0,11.4
Sumit Kumar,2,20,38,0,3.2,11.4
Auqib Nabi,5,78,149,0,13.0,11.46
R Sanjay Yadav,1,12,23,0,2.0,11.5
A Dananjaya,1,24,47,0,4.0,11.75
S Joseph,1,24,47,0,4.0,11.75
VS Yeligati,2,30,59,0,5.0,11.8
Arshad Khan (2),1,12,24,0,2.0,12.0
BJ Rohrer,1,6,12,0,1.0,12.0
DA Warner,1,1,2,0,0.1,12.0
Gulbadin Naib,1,6,12,0,1.0,12.0
LRPL Taylor,2,12,24,0,2.0,12.0
RA Tripathi,1,6,12,0,1.0,12.0
RR Bose,1,12,24,0,2.0,12.0
Vivrant Sharma,2,18,37,0,3.0,12.33
PR Veer,1,12,25,0,2.0,12.5
Aman Hakim Khan,1,6,13,0,1.0,13.0
C Ganapathy,1,6,13,0,1.0,13.0
Mandeep Singh,2,12,26,0,2.0,13.0
Suryansh Shedge,1,18,40,0,3.0,13.33
S Midhun,1,12,27,0,2.0,13.5
Gurnoor Brar,1,18,42,0,3.0,14.0
P Ray Barman,1,24,56,0,4.0,14.0
Abdur Razzak,1,12,29,0,2.0,14.5
Mashrafe Mortaza,1,24,58,0,4.0,14.5
Mohit Rathee,1,12,29,0,2.0,14.5
T Vijay,1,12,29,0,2.0,14.5
SPD Smith,1,2,5,0,0.2,15.0
MG Neser,1,24,62,0,4.0,15.5
Sunny Gupta,1,18,47,0,3.0,15.67
F du Plessis,1,6,16,0,1.0,16.0
PWA Mulder,1,6,16,0,1.0,16.0
S Sriram,2,18,49,0,3.0,16.33
NA Saini,1,12,34,0,2.0,17.0
CK Kapugedera,3,17,49,0,2.5,17.29
RR Bhatkal,1,12,35,0,2.0,17.5
P Prasanth,1,6,18,0,1.0,18.0
SN Khan,1,2,6,0,0.2,18.0
TH David,1,6,18,0,1.0,18.0
B Chipli,1,6,20,0,1.0,20.0
LPC Silva,1,6,21,0,1.0,21.0
I Malhotra,1,6,23,0,1.0,23.0
Atharva Taide,1,1,4,0,0.1,24.0
